Block,Course No,Title,Instructor,Credit,Days/Time,Room,Capacity,Modality,Year
KMPR,5071,Lawyering Foundations II,"Adams, W",3,TTh 1:15 - 3:05,246,25,F2F,1
NQSU,7600E,Tax Clinic - Tax Court I,"Afield, T & Yaun, E",4,MW 2:45 - 4:45,247,12,F2F,
NQSU,7600E,Tax Clinic - Tax Court II,"Afield, T & Yaun, E",4,MW 2:45 - 4:45,116,8,F2F,
RV,7113,Capital Punishment Law,"Arceneaux, A",3,Th 3:15 - 5:45,342,19,F2F,
ACEG,7172,Philosophy of Criminal Law,"Arora, M",3,MW 9:30 - 10:45,442,11,F2F,
X,6030E,Lawyering: Advocacy,"Atkins, W",3,T 6:00 - 8:45,134,12,F2F ,
V,7078,Georgia Appellate Practice,"Atkinson, A",2,Th 4:10 - 5:50,442,15,F2F,
Z,7210,Estate Planning Seminar,"Black, P",2,Th 6:00 - 7:40,147,16,F2F,
T,7033,Advanced Criminal Proscecution,"Boring, C",2,T 4:10 - 5:50,247,13,F2F,
Friday,8000E,Externship Seminar,"Boyd, M",1,F 10:00 - 11:40,347,16,F2F,
V,8000E,Externship Seminar (PT eve students registration priority),"Boyd, M",1,Th 4:10 - 5:50,0,15,OS,
O,8001E,Externship - Spring,"Boyd, M & Kerew, K",2-6 (var),TBA,0,60,F2F,
W,7390,Media & Mass Communication Law,"Bracker, W",3,M 6:00 - 8:45,245,30,F2F,
Z,7XXXE,Cybersecurity Law in the Organization,"Bracker, W & Kuhn, H",3,Th 6:00 - 8:45,346,30,F2F,
X,5071,Lawyering Foundations II,"Brazelton, S",3,T 6:30 - 9:15,245,25,F2F,1
W,7127,Corporate Tax,"Brewer, C",3,M 6:00 - 8:45,242,25,F2F,
QU,7605E,Partnership & LLC Taxation Lab,"Brewer, C",3,W 2:45 - 5:30,244,16,F2F,
Z,7031,Advanced Criminal Litigation,"Brickman, J",3,Th 6:00 - 8:45,41,8,F2F,
Friday,6030E,Lawyering: Advocacy,"Bristol, L",3,F 9:00 - 11:45a,139,12,F2F ,
Y,7060E,Alternative Dispute Resolution,"Bunting-Graden, J",3,W 6:00 - 8:45,346,20,F2F,
KMPR,5071,Lawyering Foundations II,"Byrd, E",3,TTh 1:15 - 3:05,244,25,F2F,1
W,7478,Trademarks and Unfair Competition,"Charney, R",3,M 6:00 - 8:45,344,25,F2F,
JN,7136,Class Actions & Aggregate Litigation,"Cleland, C",3,M 1:15 - 4:00,245,30,F2F,
KMPR,5071,Lawyering Foundations II,"Councill, P",3,TTh 1:15 - 3:05,241,25,F2F,1
EG,5020,Criminal Law,"Covey, R",3,MW 10:30 - 11:45,242,80,F2F,1
Y,7165,Criminal Procedure: Investigations,"Covey, R",3,W 6:00 - 8:45,245,50,F2F,
C ,6010,"Evidence (NOTE 5, see Overview page)","Curcio, A",4,W 8:30 - 10:10,0,50,B,
X,6030E,Lawyering: Advocacy,"Davis, J",3,T 6:00 - 8:45,135,12,F2F ,
NQSU,7010,Administrative Law,"Deshmukh, A",4,MW 2:45 - 4:25,346,50,F2F,
T,7334E,Legal Process Engineering,"Dewey, M",3,T 4:10 - 5:50,442,20,F2F,
W,6030E,Lawyering: Advocacy,"DeWoskin, D",3,M 6:00 - 8:45,135,12,F2F ,
X,5071,Lawyering Foundations II,"Domengeaux, B",3,T 6:30 - 9:15,241,25,F2F,1
BDFH,5050,Property ,"Donaldson, S",4,TTh 10:00 - 11:45,341,90,F2F,1
Z,7236,Georgia Practice & Procedure,"Edmond, R",3,Th 6:00 - 8:45,344,25,F2F,
NS,7133,"AI, Large Lang Models & Legal Inf Sys","Germann, J",2,M 3:15 - 4:55,0,25,OS,
X,7473,Sports Law,"Goplerud, P",3,T 6:00 - 8:45,0,60,OS,
QU,7XXX,Law Practice and Risk Mitigation,"Gordon, D",3,W 3:00 - 5:50,245,30,F2F,
Y,6030E,Lawyering: Advocacy,"Gresham, J",3,W 6:00 - 8:45,139,12,F2F ,
Z,7257,Health Care Fraud & Abuse,"Grubman, S",3,Th 6:00 - 8:45,244,7,F2F,
X,6030E,Lawyering: Advocacy,"Guilmette, T",3,T 6:00 - 8:45,139,12,F2F ,
Y,7216,Family Law,"Heled, Y",4,W 6:00 - 8:45,242,60,F2F,
JL,5080,Legislation & Regulation,"Heled, Y",3,MW 1:15 - 2:30,342,80,F2F,1
PT,7442,Solidarity Economy Lawyering,"Hill, J",3,T 2:45 - 5:30,345,18,F2F,
NQSU,7211E,Community Dev & Entrep Clinic,"Hill, J & Chase, S",6,MW 2:45 - 4:25,144,12,F2F,
